,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kungurtug,50.6,97.52,33.4,45,0,0.76,RU,1587345484
1,Namatanai,-3.67,152.43,83.68,75,63,5.84,PG,1587345481
2,Ushuaia,-54.8,-68.3,41.0,80,75,24.16,AR,1587345215
3,Eydhafushi,5.1,73.07,85.84,72,39,8.14,MV,1587345485
4,Katsuura,35.13,140.3,51.8,93,75,6.93,JP,1587345229
5,Nālūt,30.33,10.85,73.6,30,93,27.94,LY,1587345485
6,Karad,17.28,74.2,82.35,34,49,4.83,IN,1587345485
7,Busselton,-33.65,115.33,68.0,45,74,20.45,AU,1587345486
8,Nikolskoye,59.7,30.79,37.4,93,71,4.47,RU,1587345486
9,Rocha,-34.48,-54.33,62.08,80,8,5.14,UY,1587345222
10,Adrar,20.5,-10.07,75.67,18,0,6.22,MR,1587345486
11,Kamenka,51.32,42.77,36.45,88,45,3.89,RU,1587345486
12,Tegul'det,57.31,88.17,36.25,71,79,9.51,RU,1587345486
13,Maningrida,-12.07,134.27,82.87,70,3,5.39,AU,1587345487
14,Zyryanka,65.75,150.85,9.05,82,4,5.23,RU,1587345487
15,Ilulissat,69.22,-51.1,30.2,46,100,19.46,GL,1587345487
16,Jamestown,42.1,-79.24,43.0,93,90,10.29,US,1587345401
17,Amapá,1.0,-52.0,75.2,88,71,3.13,BR,1587345488
18,Pangnirtung,66.15,-65.71,-0.92,86,53,3.56,CA,1587345488
19,Castro,-24.79,-50.01,57.51,68,25,5.55,BR,1587345480
20,Torbay,47.67,-52.73,36.0,100,90,26.4,CA,1587345488
21,Olafsvik,64.89,-23.71,44.08,91,100,20.0,IS,1587345488
22,Trairi,-3.28,-39.27,79.57,82,23,3.22,BR,1587345488
23,Kununurra,-15.77,128.73,89.6,55,72,3.36,AU,1587345489
24,Port Alfred,-33.59,26.89,69.01,75,16,3.0,ZA,1587345222
25,Cape Town,-33.93,18.42,62.01,82,75,18.34,ZA,1587345428
26,George Town,5.41,100.34,86.0,88,20,4.21,MY,1587345485
27,Albany,42.6,-73.97,54.0,60,97,13.0,US,1587345477
28,Punta Arenas,-53.15,-70.92,41.0,65,40,12.75,CL,1587345489
29,Puerto Ayora,-0.74,-90.35,82.4,74,75,11.41,EC,1587345490
30,Xining,36.62,101.77,39.38,27,100,3.49,CN,1587345490
31,Bathsheba,13.22,-59.52,80.6,69,20,17.22,BB,1587345490
32,Saint-Philippe,-21.36,55.77,73.4,78,20,12.75,RE,1587345490
33,Bredasdorp,-34.53,20.04,52.0,93,5,8.05,ZA,1587345214
34,Port Elizabeth,-33.92,25.57,75.2,38,29,16.11,ZA,1587345278
35,Acaraú,-2.89,-40.12,77.18,87,17,3.15,BR,1587345491
36,Gijang,35.24,129.21,57.2,71,20,5.82,KR,1587345491
37,Hithadhoo,-0.6,73.08,84.78,75,94,10.04,MV,1587345209
38,Ilhéus,-14.79,-39.05,74.32,92,100,11.45,BR,1587345309
39,eMkhomazi,-30.21,30.8,60.01,95,0,14.99,ZA,1587345492
40,Butaritari,3.07,172.79,83.35,73,15,8.05,KI,1587345492
41,Three Hills,51.7,-113.27,55.99,44,60,7.14,CA,1587345302
42,Rikitea,-23.12,-134.97,77.07,69,99,5.93,PF,1587345211
43,Wanning,18.8,110.4,79.56,84,95,10.13,CN,1587345492
44,Karratha,-20.74,116.85,84.07,61,95,8.1,AU,1587345493
45,Clyde River,70.47,-68.59,-4.0,76,1,4.7,CA,1587345214
46,Matagami,49.75,-77.63,10.4,72,1,6.93,CA,1587345493
47,Pāsighāt,28.07,95.33,67.1,74,97,3.96,IN,1587345493
48,Nemuro,43.32,145.57,37.4,93,75,8.05,JP,1587345494
49,Tulun,54.56,100.58,28.89,74,0,4.97,RU,1587345494
50,Qinhuangdao,39.93,119.59,51.3,42,5,15.46,CN,1587345494
51,Karatsu,33.44,129.97,61.0,78,96,10.71,JP,1587345494
52,Thompson,55.74,-97.86,21.2,85,75,10.29,CA,1587345490
